,x,y,z
1302,14.0,14.0,-36.156822818462885
1330,42.0,14.0,-35.51086902725022
1358,70.0,14.0,-38.72631943079886
3878,14.0,42.0,-35.884071091590805
3906,42.0,42.0,-37.295588573017696
3934,70.0,42.0,-39.32804039822157
6454,14.0,70.0,-37.594612859891846
6482,42.0,70.0,-38.827759168630536
6510,70.0,70.0,-39.17063552925664
9030,14.0,98.0,-38.59477888392761
9058,42.0,98.0,-39.34893516665782
9086,70.0,98.0,-40.3317495290333
11606,14.0,126.0,-36.510894739602456
11634,42.0,126.0,-37.98187050818346
11662,70.0,126.0,-40.346327673397354
14182,14.0,154.0,-36.23691396652515
14210,42.0,154.0,-35.459967917355854
14238,70.0,154.0,-39.48459670792827
16758,14.0,182.0,-36.487922334454986
16786,42.0,182.0,-34.24774466751866
16814,70.0,182.0,-39.42598289824596
19334,14.0,210.0,-37.66771399328982
19362,42.0,210.0,-34.86387989853733
19390,70.0,210.0,-37.350262583924724
21910,14.0,238.0,-38.164363025630244
21938,42.0,238.0,-32.397197269069274
21966,70.0,238.0,-34.6680088027911
24486,14.0,266.0,-34.04051108362647
24514,42.0,266.0,-31.812031670949324
24542,70.0,266.0,-34.008499667953004
27062,14.0,294.0,-32.0699696281354
27090,42.0,294.0,-31.46562818148615
27118,70.0,294.0,-36.899892749493496
29638,14.0,322.0,-30.88155701682697
29666,42.0,322.0,-32.365062814043
29694,70.0,322.0,-32.753593571905064
32214,14.0,350.0,-32.33346284109949
32242,42.0,350.0,-36.43682035435911
32270,70.0,350.0,-32.56991043901413
34790,14.0,378.0,-33.034319016317234
34818,42.0,378.0,-34.41804003976399
34846,70.0,378.0,-34.93446139337492
37366,14.0,406.0,-32.230160095104424
37394,42.0,406.0,-32.34571512296494
37422,70.0,406.0,-29.718249859004406
39942,14.0,434.0,-29.33668833267523
39970,42.0,434.0,-30.276029855833485
39998,70.0,434.0,-30.53452348432501
42518,14.0,462.0,-26.378879584633022
42546,42.0,462.0,-27.25513462755502
42574,70.0,462.0,-28.652557483065063
45094,14.0,490.0,-28.336515804573096
45122,42.0,490.0,-32.27143143387124
45150,70.0,490.0,-33.12865304078678
47670,14.0,518.0,-30.467358411802845
47698,42.0,518.0,-30.76176003421141
47726,70.0,518.0,-31.384102004283356
50246,14.0,546.0,-30.519768261711747
50274,42.0,546.0,-27.403808396566003
50302,70.0,546.0,-29.956688469793956
52822,14.0,574.0,-31.739416565156926
52850,42.0,574.0,-28.204324227806115
52878,70.0,574.0,-33.33618404183917
55398,14.0,602.0,-30.37009246153382
55426,42.0,602.0,-24.668453438563194
55454,70.0,602.0,-30.20890607149522
57974,14.0,630.0,-29.48726502629377
58002,42.0,630.0,-25.56014735641127
58030,70.0,630.0,-30.21251464388504
