,x,y,z
186,2.0,2.0,-41.261404394420786
190,6.0,2.0,-38.601449536299995
194,10.0,2.0,-35.808548329714
198,14.0,2.0,-37.62469132408448
202,18.0,2.0,-41.84082073723743
206,22.0,2.0,-39.63606714049769
210,26.0,2.0,-34.39538902682617
214,30.0,2.0,-32.686540733781776
218,34.0,2.0,-32.50354825107821
222,38.0,2.0,-35.448139277008096
226,42.0,2.0,-38.86386919109644
230,46.0,2.0,-37.652848795741775
234,50.0,2.0,-35.83148757760423
238,54.0,2.0,-35.810797969634194
242,58.0,2.0,-36.05028720375109
246,62.0,2.0,-37.971448599578856
250,66.0,2.0,-38.441266963983686
254,70.0,2.0,-38.02866948909143
258,74.0,2.0,-38.51747242591653
262,78.0,2.0,-41.295234264636434
266,82.0,2.0,-41.26629606634879
270,86.0,2.0,-36.9279368887423
554,2.0,6.0,-40.15523039267417
558,6.0,6.0,-37.62130061730433
562,10.0,6.0,-35.991277352295526
566,14.0,6.0,-37.83740993429237
570,18.0,6.0,-40.97977258049276
574,22.0,6.0,-38.5186570359445
578,26.0,6.0,-34.05464717859982
582,30.0,6.0,-32.540072292773
586,34.0,6.0,-32.89477702729555
590,38.0,6.0,-35.720289004116076
594,42.0,6.0,-38.08676607908519
598,46.0,6.0,-37.04810133704315
602,50.0,6.0,-35.66141082595579
606,54.0,6.0,-36.274885945202755
610,58.0,6.0,-37.3357974916953
614,62.0,6.0,-38.143393453078474
618,66.0,6.0,-37.76064513067125
622,70.0,6.0,-38.04930218010603
626,74.0,6.0,-39.41499257098703
630,78.0,6.0,-41.826368415419346
634,82.0,6.0,-41.54766166521981
638,86.0,6.0,-37.322342569880426
922,2.0,10.0,-39.27212196076237
926,6.0,10.0,-36.91855646286711
930,10.0,10.0,-36.42929507007267
934,14.0,10.0,-38.02984803574442
938,18.0,10.0,-39.39223517253622
942,22.0,10.0,-37.26113481330314
946,26.0,10.0,-33.98810416468868
950,30.0,10.0,-32.372462655725414
954,34.0,10.0,-33.40643697172936
958,38.0,10.0,-36.11286260567344
962,42.0,10.0,-37.075628334852574
966,46.0,10.0,-36.50918702680434
970,50.0,10.0,-35.76903626282983
974,54.0,10.0,-37.072216807307996
978,58.0,10.0,-38.74957925490841
982,62.0,10.0,-38.14348796226211
986,66.0,10.0,-37.1122760867871
990,70.0,10.0,-38.14308078760847
994,74.0,10.0,-40.185144718239194
998,78.0,10.0,-42.235586017939525
1002,82.0,10.0,-41.45823244780782
1006,86.0,10.0,-37.75134003692471
1290,2.0,14.0,-38.50484502013837
1294,6.0,14.0,-36.34401618063596
1298,10.0,14.0,-37.24911882384908
1302,14.0,14.0,-38.5574428072476
1306,18.0,14.0,-37.7237336026589
1310,22.0,14.0,-36.359437205511476
1314,26.0,14.0,-34.095494432522266
1318,30.0,14.0,-32.265818708197266
1322,34.0,14.0,-34.14926259865425
1326,38.0,14.0,-36.73643085140407
1330,42.0,14.0,-36.4478736654219
1334,46.0,14.0,-36.170691361641204
1338,50.0,14.0,-36.16377196885176
1342,54.0,14.0,-37.65024208846786
1346,58.0,14.0,-39.369511937121324
1350,62.0,14.0,-37.96454899254176
1354,66.0,14.0,-36.638154917297186
1358,70.0,14.0,-38.184013794976465
1362,74.0,14.0,-40.51375271441386
1366,78.0,14.0,-42.47027867658387
1370,82.0,14.0,-41.39059138311053
1374,86.0,14.0,-38.59352894399125
1658,2.0,18.0,-37.54163686522137
1662,6.0,18.0,-36.22815223669207
1666,10.0,18.0,-38.32482598579661
1670,14.0,18.0,-39.38265983752254
1674,18.0,18.0,-36.58998184694094
1678,22.0,18.0,-35.428180284763855
1682,26.0,18.0,-34.09636991868883
1686,30.0,18.0,-32.521333747212786
1690,34.0,18.0,-35.0094586600292
1694,38.0,18.0,-37.23491181969286
1698,42.0,18.0,-35.98165345338536
1702,46.0,18.0,-35.88874998932427
1706,50.0,18.0,-36.659063903516945
1710,54.0,18.0,-37.86908481166937
1714,58.0,18.0,-39.200753078978686
1718,62.0,18.0,-37.946960978856225
1722,66.0,18.0,-36.31476895286
1726,70.0,18.0,-38.42621024939094
1730,74.0,18.0,-40.64070118529713
1734,78.0,18.0,-42.380367839789216
1738,82.0,18.0,-41.66754786972905
1742,86.0,18.0,-39.07331775310044
2026,2.0,22.0,-36.52657044531006
2030,6.0,22.0,-36.71294461809514
2034,10.0,22.0,-39.10764783399861
2038,14.0,22.0,-39.97259589718599
2042,18.0,22.0,-36.12940889877648
2046,22.0,22.0,-34.429750748416275
2050,26.0,22.0,-33.92993017235536
2054,30.0,22.0,-33.04036839581694
2058,34.0,22.0,-35.80045880923311
2062,38.0,22.0,-37.582348857953654
2066,42.0,22.0,-35.72841668486943
2070,46.0,22.0,-35.83917753146734
2074,50.0,22.0,-37.236261472356034
2078,54.0,22.0,-38.42784847771885
2082,58.0,22.0,-38.6860349500588
