,x,y,z
558,6,6,-40.63647125441145
570,18,6,-40.94625856494648
582,30,6,-31.691302005247376
594,42,6,-33.695714858771254
606,54,6,-35.70012771229514
618,66,6,-37.56341985244231
630,78,6,-41.99298251092715
1662,6,18,-39.49930931042705
1674,18,18,-37.06194922685599
1686,30,18,-36.407399381376166
1698,42,18,-36.23410951140837
1710,54,18,-37.242256626811425
1722,66,18,-37.99746521862369
1734,78,18,-42.189441028553674
2766,6,30,-39.48039762487939
2778,18,30,-35.9247872828716
2790,30,30,-34.73694883170369
2802,42,30,-36.91661751785359
2814,54,30,-39.61524678828261
2826,66,30,-37.82290227143656
2838,78,30,-41.48946891281072
3870,6,42,-39.7890932292496
3882,18,42,-34.637448438585054
3894,30,42,-35.056974601984685
3906,42,42,-36.680387757189735
3918,54,42,-38.904047556194314
3930,66,42,-39.51080701447865
3942,78,42,-41.5344489296323
4974,6,54,-40.09778883361983
4986,18,54,-35.54095318035456
4998,30,54,-37.555814253140504
5010,42,54,-39.570675325926445
5022,54,54,-39.352697312227924
5034,66,54,-40.88329624263717
5046,78,54,-43.22052391191856
6078,6,66,-40.822091954295054
6090,18,66,-36.24999552717125
6102,30,66,-38.79345387974013
6114,42,66,-40.388954468748764
6126,54,66,-37.877556670598366
6138,66,66,-40.50125754915766
6150,78,66,-40.30278183550015
7182,6,78,-42.08074759593384
7194,18,78,-38.92414945322671
7206,30,78,-36.85528827680794
7218,42,78,-38.507374720271194
7230,54,78,-36.94982134942584
7242,66,78,-39.805175832208505
7254,78,78,-39.92195136955821
8286,6,90,-40.791964539281395
8298,18,90,-39.37201111485743
8310,30,90,-37.67202575741702
8322,42,90,-38.33180495867964
8334,54,90,-34.38621762592358
8346,66,90,-37.97199517282398
8358,78,90,-41.27340444068554
9390,6,102,-39.50318148262894
9402,18,102,-38.95679312340998
9414,30,102,-38.66548449465356
9426,42,102,-36.25304830149339
9438,54,102,-34.9737176905591
9450,66,102,-40.59819104815192
9462,78,102,-43.56454677530797
10494,6,114,-38.21439842597648
10506,18,114,-38.25422567256611
10518,30,114,-38.422976946524045
10530,42,114,-35.98246335518814
10542,54,114,-36.772804785428654
10554,66,114,-40.28194655247525
10566,78,114,-41.54855500391288
11598,6,126,-39.00363515752842
11610,18,126,-39.61643260536196
11622,30,126,-37.78464774364063
11634,42,126,-33.13618556881033
11646,54,126,-36.67860638387021
11658,66,126,-39.30574502491083
11670,78,126,-40.17384297754605
12702,6,138,-39.23522360022877
12714,18,138,-38.15254613223227
12726,30,138,-37.440244870171526
12738,42,138,-33.650942189680514
12750,54,138,-36.4151317199047
12762,66,138,-39.613068987845956
12774,78,138,-40.70878658889438
13806,6,150,-39.63081007152958
13818,18,150,-36.816150830718115
13830,30,150,-36.33196793046162
13842,42,150,-34.4743304438101
13854,54,150,-35.799062688385746
13866,66,150,-37.364756535461225
13878,78,150,-38.09776707472741
14910,6,162,-37.811494141064784
14922,18,162,-37.064455711674114
14934,30,162,-33.297629045018795
14946,42,162,-33.21480107379044
14958,54,162,-35.19914269612495
14970,66,162,-37.65484453954663
14982,78,162,-38.30507939582122
16014,6,174,-34.51177102482973
16026,18,174,-36.06517748871328
16038,30,174,-33.399717181678305
16050,42,174,-33.83231353916594
16062,54,174,-33.7539641848457
16074,66,174,-36.93019997313047
16086,78,174,-39.48113036610941
17118,6,186,-33.88481379499115
17130,18,186,-39.30900241227438
17142,30,186,-35.44021609690145
17154,42,186,-32.89899613170485
17166,54,186,-34.760566249527095
17178,66,186,-37.394556021735156
17190,78,186,-42.02596012314204
18222,6,198,-32.925981168061604
18234,18,198,-36.129013472525614
18246,30,198,-33.00811638799664
18258,42,198,-34.918864716862345
18270,54,198,-34.925848674345836
18282,66,198,-36.26358620320328
18294,78,198,-40.317867818699185
19326,6,210,-33.00215144348922
19338,18,210,-37.130909512318446
19350,30,210,-34.97899544977304
19362,42,210,-33.68706462892817
19374,54,210,-34.3067488343046
19386,66,210,-35.69703669477117
19398,78,210,-36.22608019801486
20430,6,222,-33.51899663127041
20442,18,222,-34.810169865076475
20454,30,222,-35.36914721332103
20466,42,222,-32.634732322425684
20478,54,222,-33.594785077288314
20490,66,222,-35.74328788693677
20502,78,222,-35.02865888449958
21534,6,234,-34.03584181905161
21546,18,234,-35.82889755120423
21558,30,234,-35.029004407498896
21570,42,234,-31.656704911945685
21582,54,234,-33.22869323549967
21594,66,234,-34.78020542346919
21606,78,234,-34.51794702429665
22638,6,246,-34.97169883678523
22650,18,246,-33.550045306024224
22662,30,246,-34.86750284052357
22674,42,246,-30.668801114193382
22686,54,246,-30.768289104359127
22698,66,246,-34.070130801677664
22710,78,246,-35.94196299024044
23742,6,258,-36.84227455210505
23754,18,258,-31.843911657567027
23766,30,258,-32.498965177139446
23778,42,258,-32.741268248094016
23790,54,258,-35.16323796197231
23802,66,258,-35.417372443269834
23814,78,258,-35.81140841574695
24846,6,270,-36.56541325818012
24858,18,270,-31.84635482566592
24870,30,270,-32.48460328376697
24882,42,270,-32.39474854653547
24894,54,270,-33.44124257555252
24906,66,270,-34.79065264611849
24918,78,270,-33.81399210359522
25950,6,282,-32.54666783074218
25962,18,282,-31.1633825502956
25974,30,282,-33.04516546772143
25986,42,282,-33.323483133797495
25998,54,282,-32.473828822059275
26010,66,282,-35.549149279996776
26022,78,282,-32.44670077812484
27054,6,294,-30.64248728304834
27066,18,294,-30.515533476218856
